	match_url	date	score	home	guests	winner	home_goals	guests_goals
617	https://ru.corner-stats.com/zenit-st-petersburg-terek-grozny-26-06-2011/premier-league-russia/match/17240	26/06/11	0 : 0	 зенит 	 ахмат 	nobody	0	0
618	https://ru.corner-stats.com/rubin-kazan-kuban-krasnodar-26-06-2011/premier-league-russia/match/17368	26/06/11	0 : 2	 рубин 	 кубань 	guests	0	2
619	https://ru.corner-stats.com/krylya-samara-spartak-nalchik-26-06-2011/premier-league-russia/match/17708	26/06/11	0 : 2	 крылья советов 	спартак-нальчик	guests	0	2
620	https://ru.corner-stats.com/amkar-perm-cska-moscow-26-06-2011/premier-league-russia/match/17068	26/06/11	0 : 2	 амкар 	 цска 	guests	0	2
621	https://ru.corner-stats.com/tomsk-volga-nizhny-novgorod-26-06-2011/premier-league-russia/match/18055	26/06/11	0 : 3	 томь 	волга	guests	0	3
622	https://ru.corner-stats.com/krasnodar-terek-grozny-22-06-2011/premier-league-russia/match/17239	22/06/11	0 : 2	 краснодар 	 ахмат 	guests	0	2
623	https://ru.corner-stats.com/zenit-st-petersburg-kuban-krasnodar-22-06-2011/premier-league-russia/match/17430	22/06/11	1 : 0	 зенит 	 кубань 	home	1	0
624	https://ru.corner-stats.com/cska-moscow-lokomotiv-m-22-06-2011/premier-league-russia/match/17067	22/06/11	3 : 1	 цска 	 локомотив 	home	3	1
625	https://ru.corner-stats.com/krylya-samara-anzhi-makhachkala-22-06-2011/premier-league-russia/match/16982	22/06/11	0 : 3	 крылья советов 	 анжи 	guests	0	3
626	https://ru.corner-stats.com/spartak-m-dinamo-moscow-22-06-2011/premier-league-russia/match/17310	22/06/11	0 : 2	 спартак 	 динамо москва 	guests	0	2
627	https://ru.corner-stats.com/rubin-kazan-volga-nizhny-novgorod-22-06-2011/premier-league-russia/match/17367	22/06/11	2 : 0	 рубин 	волга	home	2	0
628	https://ru.corner-stats.com/amkar-perm-spartak-nalchik-22-06-2011/premier-league-russia/match/17572	22/06/11	1 : 0	 амкар 	спартак-нальчик	home	1	0
629	https://ru.corner-stats.com/tomsk-rostov-22-06-2011/premier-league-russia/match/17759	22/06/11	1 : 1	 томь 	 ростов 	nobody	1	1
630	https://ru.corner-stats.com/lokomotiv-m-spartak-m-18-06-2011/premier-league-russia/match/17147	18/06/11	0 : 2	 локомотив 	 спартак 	guests	0	2
631	https://ru.corner-stats.com/spartak-m-lokomotiv-m-29-10-2011/premier-league-russia/match/17167	29/10/11	3 : 0	 спартак 	 локомотив 	home	3	0
632	https://ru.corner-stats.com/krasnodar-kuban-krasnodar-29-10-2011/premier-league-russia/match/17508	29/10/11	0 : 2	 краснодар 	 кубань 	guests	0	2
633	https://ru.corner-stats.com/anzhi-makhachkala-amkar-perm-29-10-2011/premier-league-russia/match/16998	29/10/11	2 : 1	 анжи 	 амкар 	home	2	1
634	https://ru.corner-stats.com/cska-moscow-spartak-nalchik-28-10-2011/premier-league-russia/match/17083	28/10/11	3 : 0	 цска 	спартак-нальчик	home	3	0
635	https://ru.corner-stats.com/rubin-kazan-rostov-28-10-2011/premier-league-russia/match/17380	28/10/11	1 : 1	 рубин 	 ростов 	nobody	1	1
